x,y,freq,steps,seed,node,rank per node,dimension,time,name,total_rank
1000,1000,1,128,10,1,4,2,14.6474,1000(2000)_1000_n1_different_rank.out,4
1000,1000,1,128,10,1,9,2,6.76282,1000(2000)_1000_n1_different_rank.out,9
1000,1000,1,128,10,1,16,2,4.01556,1000(2000)_1000_n1_different_rank.out,16
1000,1000,1,128,10,1,25,2,2.63972,1000(2000)_1000_n1_different_rank.out,25
1000,1000,1,128,10,1,36,2,2.00303,1000(2000)_1000_n1_different_rank.out,36
1000,1000,1,128,10,1,49,2,1.64375,1000(2000)_1000_n1_different_rank.out,49
1000,1000,1,128,10,1,64,2,1.5174,1000(2000)_1000_n1_different_rank.out,64
2000,1000,1,128,10,1,4,2,29.2674,1000(2000)_1000_n1_different_rank.out,4
2000,1000,1,128,10,1,9,2,13.4871,1000(2000)_1000_n1_different_rank.out,9
2000,1000,1,128,10,1,16,2,8.00772,1000(2000)_1000_n1_different_rank.out,16
2000,1000,1,128,10,1,25,2,5.05965,1000(2000)_1000_n1_different_rank.out,25
2000,1000,1,128,10,1,36,2,3.54525,1000(2000)_1000_n1_different_rank.out,36
2000,1000,1,128,10,1,49,2,2.99926,1000(2000)_1000_n1_different_rank.out,49
2000,1000,1,128,10,1,64,2,2.32371,1000(2000)_1000_n1_different_rank.out,64
1000,1000,1,128,10,2,2,2,14.6705,1000(2000)_1000_n2_different_rank.out,4
1000,1000,1,128,10,2,8,2,3.82713,1000(2000)_1000_n2_different_rank.out,16
1000,1000,1,128,10,2,18,2,1.90323,1000(2000)_1000_n2_different_rank.out,36
1000,1000,1,128,10,2,32,2,1.05359,1000(2000)_1000_n2_different_rank.out,64
1000,1000,1,128,10,2,50,2,0.85278,1000(2000)_1000_n2_different_rank.out,100
2000,1000,1,128,10,2,2,2,29.3553,1000(2000)_1000_n2_different_rank.out,4
2000,1000,1,128,10,2,8,2,7.64002,1000(2000)_1000_n2_different_rank.out,16
2000,1000,1,128,10,2,18,2,3.52029,1000(2000)_1000_n2_different_rank.out,36
2000,1000,1,128,10,2,32,2,2.14731,1000(2000)_1000_n2_different_rank.out,64
2000,1000,1,128,10,2,50,2,1.6002,1000(2000)_1000_n2_different_rank.out,100
2000,1000,2,128,10,2,2,2,25.9357,2000_1000_n2_different_frequency.out,4
2000,1000,4,128,10,2,2,2,24.2842,2000_1000_n2_different_frequency.out,4
2000,1000,8,128,10,2,2,2,23.5495,2000_1000_n2_different_frequency.out,4
