x,y,freq,steps,seed,node,rank per node,dimension,time,name,total_rank
1000,1000,1,128,10,1,1,1,44.086,1000(2000)_1000_n1_different_rank.out,1
1000,1000,1,128,10,1,2,1,22.0059,1000(2000)_1000_n1_different_rank.out,2
1000,1000,1,128,10,1,4,1,11.4472,1000(2000)_1000_n1_different_rank.out,4
1000,1000,1,128,10,1,8,1,5.85968,1000(2000)_1000_n1_different_rank.out,8
1000,1000,1,128,10,1,9,1,5.13363,1000(2000)_1000_n1_different_rank.out,9
1000,1000,1,128,10,1,16,1,3.0246,1000(2000)_1000_n1_different_rank.out,16
1000,1000,1,128,10,1,25,1,2.10793,1000(2000)_1000_n1_different_rank.out,25
1000,1000,1,128,10,1,30,1,1.73657,1000(2000)_1000_n1_different_rank.out,30
1000,1000,1,128,10,1,32,1,1.55156,1000(2000)_1000_n1_different_rank.out,32
1000,1000,1,128,10,1,36,1,1.36082,1000(2000)_1000_n1_different_rank.out,36
1000,1000,1,128,10,1,49,1,1.19689,1000(2000)_1000_n1_different_rank.out,49
1000,1000,1,128,10,1,60,1,1.12775,1000(2000)_1000_n1_different_rank.out,60
1000,1000,1,128,10,1,64,1,1.20293,1000(2000)_1000_n1_different_rank.out,64
2000,1000,1,128,10,1,1,1,88.1854,1000(2000)_1000_n1_different_rank.out,1
2000,1000,1,128,10,1,2,1,44.225,1000(2000)_1000_n1_different_rank.out,2
2000,1000,1,128,10,1,4,1,22.1174,1000(2000)_1000_n1_different_rank.out,4
2000,1000,1,128,10,1,8,1,11.096,1000(2000)_1000_n1_different_rank.out,8
2000,1000,1,128,10,1,9,1,10.008,1000(2000)_1000_n1_different_rank.out,9
2000,1000,1,128,10,1,16,1,5.67396,1000(2000)_1000_n1_different_rank.out,16
2000,1000,1,128,10,1,25,1,3.63759,1000(2000)_1000_n1_different_rank.out,25
2000,1000,1,128,10,1,30,1,3.06326,1000(2000)_1000_n1_different_rank.out,30
2000,1000,1,128,10,1,32,1,2.98992,1000(2000)_1000_n1_different_rank.out,32
2000,1000,1,128,10,1,36,1,2.64784,1000(2000)_1000_n1_different_rank.out,36
2000,1000,1,128,10,1,49,1,2.39449,1000(2000)_1000_n1_different_rank.out,49
2000,1000,1,128,10,1,60,1,1.8539,1000(2000)_1000_n1_different_rank.out,60
2000,1000,1,128,10,1,64,1,1.86333,1000(2000)_1000_n1_different_rank.out,64
1000,1000,1,128,10,2,1,1,22.0662,1000(2000)_1000_n2_different_rank.out,2
1000,1000,1,128,10,2,2,1,11.0636,1000(2000)_1000_n2_different_rank.out,4
1000,1000,1,128,10,2,4,1,5.74034,1000(2000)_1000_n2_different_rank.out,8
1000,1000,1,128,10,2,8,1,2.92102,1000(2000)_1000_n2_different_rank.out,16
